,n_atoms,sd_plus_yes,sd_minus_yes,mean_yes,sd_plus_no,sd_minus_no,mean_no
0,1,0.05327629477661963,0.04393168061095361,0.04860398769378662,0.05438079637691771,0.04302597242191041,0.04870338439941406
1,2,0.0585334800735795,0.04487190017544393,0.051702690124511716,0.0480710691231532,0.044537001250381965,0.04630403518676758
2,3,0.050458696453988566,0.04455086889940499,0.04750478267669678,0.05571987404835501,0.04228809103953562,0.049003982543945314
3,4,0.057957179424607194,0.03904895079389867,0.04850306510925293,0.048979433847860326,0.04223126523356058,0.04560534954071045
4,5,0.056483675847198336,0.04252431212887588,0.04950399398803711,0.05405014373416087,0.04235755585080007,0.04820384979248047
5,6,0.05277803978501959,0.04683047690809565,0.04980425834655762,0.05117310307448102,0.04543510653550433,0.04830410480499268
6,7,0.06782959165883921,0.0373788529364977,0.05260422229766846,0.046889357139941405,0.04311875862849122,0.04500405788421631
7,8,0.049614381795123515,0.04559245109061868,0.047603416442871097,0.04913239338424351,0.042876483416293604,0.046004438400268556
8,9,0.05260009644991111,0.04500765921109963,0.04880387783050537,0.04791736898163568,0.04348931017180671,0.045703339576721194
9,10,0.05320717582978437,0.046805603406055475,0.05000638961791992,0.049235836343972494,0.0449714504907443,0.0471036434173584
10,11,0.05181577997730442,0.04759265584422879,0.0497042179107666,0.05067112285144119,0.04513647716992112,0.047903800010681154
11,12,0.05420109115168654,0.04920853294804491,0.051704812049865725,0.05125093384899248,0.04535837248645674,0.04830465316772461
12,13,0.053940205717423646,0.051069588517805846,0.052504897117614746,0.05232473783964051,0.046284089751301875,0.049304413795471194
13,14,0.06104298703288231,0.05256751902485695,0.05680525302886963,0.05221536131401173,0.04779217271308788,0.050003767013549805
14,15,0.059503325523724906,0.054302302299151076,0.05690281391143799,0.052956074597629965,0.048654442904201095,0.05080525875091553
15,16,0.06302016606425412,0.0555895007600867,0.05930483341217041,0.05480259769030586,0.04700432903698906,0.05090346336364746
16,17,0.0636295648046149,0.05678035302680599,0.06020495891571045,0.05834126156996785,0.04826946574021281,0.05330536365509033
17,18,0.07188832944288326,0.06032297426805424,0.06610565185546875,0.06472930311470292,0.05108256936759689,0.057905936241149904
18,19,0.07324517114493291,0.06256382124093134,0.06790449619293212,0.06241832604078099,0.04959615836473658,0.05600724220275879
19,20,0.07312288848031641,0.06228966149221778,0.06770627498626709,0.06523909102147213,0.05437412728602299,0.05980660915374756
20,21,0.0725477131177895,0.06426402012806011,0.0684058666229248,0.07247501974420267,0.057537254044249475,0.06500613689422607
21,22,0.08036546222688716,0.06284752376554449,0.07160649299621583,0.0687239853156043,0.05788824879999628,0.06330611705780029
22,23,0.07889132347246343,0.06572160873273676,0.0723064661026001,0.06562821166969623,0.053789741821514706,0.05970897674560547
23,24,0.08240227687872688,0.06841011058770378,0.07540619373321533,0.07306433722468492,0.057539643793381494,0.06530199050903321
24,25,0.09229003081851757,0.07331880440181936,0.08280441761016846,0.06684426686544151,0.05756698229532508,0.0622056245803833
25,26,0.08785393731073607,0.07515956862493287,0.08150675296783447,0.07291597743854371,0.05609551052227172,0.06450574398040772
26,27,0.08984092252484077,0.078574242422669,0.08420758247375489,0.07145331986102749,0.06255852095928502,0.06700592041015625
27,28,0.08732221518018762,0.07629301156541785,0.08180761337280273,0.08054994389106566,0.06726404384086794,0.0739069938659668
28,29,0.08926660331470083,0.07814877716320444,0.08370769023895264,0.08322079431297894,0.059793636686776924,0.07150721549987793
29,30,0.1102398498943349,0.08277806201667585,0.09650895595550538,0.07246275136288927,0.0615497093457289,0.06700623035430908
30,31,0.087137831542561,0.07867151370280034,0.08290467262268067,0.06879943121066369,0.06261307489285194,0.06570625305175781
31,32,0.09624159356968882,0.08357541540247913,0.08990850448608398,0.08165132351190299,0.06876428775518686,0.07520780563354493
32,33,0.11316349865291243,0.0948575222363698,0.10401051044464112,0.0829750376204721,0.0744379205246695,0.0787064790725708
33,34,0.11134375356020007,0.0958735582989308,0.10360865592956543,0.0919707360234193,0.0724438605341979,0.0822072982788086
34,35,0.10696907023783245,0.09044742603902303,0.09870824813842774,0.09145998862364871,0.07775588127991576,0.08460793495178223
35,36,0.11138899530075476,0.09482939039565637,0.10310919284820556,0.1881897728256009,0.0360275466629245,0.11210865974426269
36,37,0.13350526980058725,0.09471557446821158,0.11411042213439941,0.0962169775778035,0.07859724666536057,0.08740711212158203
37,38,0.12786418986677964,0.10274942326188247,0.11530680656433105,0.09427387088766927,0.08013847499856121,0.08720617294311524
38,39,0.1288350580535886,0.09898343102111842,0.11390924453735352,0.09668744283839249,0.07892829698399521,0.08780786991119385
39,40,0.1136435287198114,0.10457665751370912,0.10911009311676026,0.1027642323976857,0.07865075325905257,0.09070749282836914
40,41,0.13313572880973945,0.10548550608405939,0.11931061744689941,0.10944513621489274,0.08276911434968245,0.0961071252822876
41,42,0.12304598800957404,0.1045748997467736,0.11381044387817382,0.11119458948439712,0.08022234166794665,0.09570846557617188
42,43,0.1497698499950601,0.1124527261462973,0.1311112880706787,0.10705694568121804,0.08335748302971946,0.09520721435546875
43,44,0.1438348670269067,0.11538716361274172,0.12961101531982422,0.10013359556835419,0.08628269662219756,0.09320814609527588
44,45,0.15637857323467977,0.11944392317950478,0.13791124820709227,0.10798664017390762,0.08803010062504259,0.0980083703994751
45,46,0.1735289650889481,0.1052937907246505,0.1394113779067993,0.10696850780483465,0.09164732929233331,0.09930791854858398
46,47,0.15322934000011407,0.1299948612022785,0.14161210060119628,0.10726810155957298,0.08894895852953835,0.09810853004455566
47,48,0.1546433574501067,0.130179392641446,0.14241137504577636,0.10399748976206602,0.08761833016896425,0.09580790996551514
48,49,0.17539400906920383,0.13903412966370632,0.15721406936645507,0.19232547839530365,0.05109416882149323,0.12170982360839844
49,50,0.16148723025767125,0.13333880047352992,0.14741301536560059,0.10848219533174008,0.09173643450529606,0.10010931491851807
50,51,0.1642648139362525,0.14515491338918693,0.15470986366271972,0.11976575597674297,0.09485268846600606,0.10730922222137451
51,52,0.18425852494702682,0.14376991552843704,0.16401422023773193,0.1203162500637639,0.10190235879243728,0.11110930442810059
52,53,0.19347391546254228,0.13955454408640794,0.1665142297744751,0.1122629799692051,0.09155248023587302,0.10190773010253906
53,54,0.20063718239597841,0.157792726356463,0.1792149543762207,0.11763266910791573,0.09818516383886161,0.10790891647338867
54,55,0.19001523282283744,0.151814162471352,0.17091469764709472,0.1310198384800749,0.1069991987666292,0.11900951862335205
55,56,0.18609330363871923,0.15053599171040188,0.16831464767456056,0.13336320826853895,0.10745271732960557,0.12040796279907226
56,57,0.2119532615433296,0.16187824900049363,0.18691575527191162,0.1386473551929951,0.10977216804614065,0.12420976161956787
57,58,0.20614263907725205,0.1586869011754335,0.18241477012634277,0.138024942955911,0.11899696103578822,0.1285109519958496
58,59,0.2222809642332478,0.18225428166213795,0.20226762294769288,0.13836031917854275,0.11486057277397187,0.1266104459762573
59,60,0.21761507074737482,0.1846210094223029,0.20111804008483886,0.1375953378030165,0.11182430369173449,0.1247098207473755
60,61,0.2286322586392164,0.18540678097260002,0.20701951980590821,0.13970358660464632,0.12131697842831267,0.1305102825164795
61,62,0.22660704666231538,0.18922866767789456,0.20791785717010497,0.142348514415527,0.12047354140112342,0.1314110279083252
62,63,0.23594259491131908,0.18769131431414476,0.21181695461273192,0.14377791199723203,0.12444337096175238,0.1341106414794922
63,64,0.22985072374182136,0.20218376875085442,0.2160172462463379,0.15932899863734365,0.11609428970799325,0.13771164417266846
64,65,0.24662033001351952,0.19541639407705663,0.22101836204528807,0.15910004105882533,0.13532454046888462,0.14721229076385497
65,66,0.2519043119799482,0.19633286872989064,0.22411859035491943,0.15864855845500817,0.1269722263045133,0.14281039237976073
66,67,0.2635953728261343,0.21144377550455418,0.23751957416534425,0.17342246294438937,0.13840243100702662,0.155912446975708
67,68,0.2613744244245493,0.20706625131092438,0.23422033786773683,0.1629123520531181,0.13411070588450397,0.14851152896881104
68,69,0.2754238747376077,0.23241804611505343,0.25392096042633056,0.16159310896174134,0.12783083360417663,0.14471197128295898
69,70,0.264024563564981,0.22081525729683546,0.24241991043090821,0.18667964266635279,0.14734874440334939,0.16701419353485109
70,71,0.27047340870094616,0.234968495367047,0.2527209520339966,0.18748617165541573,0.15774216658616144,0.17261416912078859
71,72,0.2893059748131759,0.2251360875647538,0.25722103118896483,0.19676466072344695,0.1642635813877591,0.18051412105560302
72,73,0.2869448215046123,0.23909911808584186,0.2630219697952271,0.17712167652421915,0.14250660983747518,0.15981414318084716
73,74,0.29038350263543794,0.24625847658209135,0.26832098960876466,0.19266018730428422,0.15816664832803998,0.1754134178161621
74,75,0.3059850129377102,0.25485931308157694,0.28042216300964357,0.19935481145576808,0.16127455637260105,0.18031468391418456
75,76,0.3058757641168051,0.2571698329596109,0.281522798538208,0.19011544085226478,0.1599157442978817,0.17501559257507324
76,77,0.29185733618278553,0.23538637338142343,0.2636218547821045,0.19149098836517942,0.1599360898818909,0.17571353912353516
77,78,0.29660573084313246,0.2608386031870189,0.2787221670150757,0.20303483200152989,0.17599701690594083,0.18951592445373536
78,79,0.32497670057200895,0.2746693908891727,0.2998230457305908,0.19452061725556732,0.16291108058989165,0.1787158489227295
79,80,0.31544129588575004,0.27220447323351266,0.29382288455963135,0.19127884858239053,0.17195061690222863,0.18161473274230958
80,81,0.3415612283590289,0.2862884458658246,0.31392483711242675,0.22758760813474813,0.18044161435365522,0.20401461124420167
81,82,0.3322046608515287,0.29804536394400355,0.31512501239776614,0.2142250734915627,0.1850084584603416,0.19961676597595215
82,83,0.34134635643675626,0.2971036462335318,0.31922500133514403,0.21066746530701694,0.1731617945654196,0.19191462993621827
83,84,0.3377852906894074,0.2958663473415985,0.31682581901550294,0.2272595571340323,0.17237227689611906,0.19981591701507567
84,85,0.3377666174208729,0.29248693596963005,0.31512677669525146,0.21911317609366115,0.1755174944538242,0.19731533527374268
85,86,0.3459518372831113,0.30870094897177147,0.3273263931274414,0.23224066628982398,0.17119155989120627,0.20171611309051513
86,87,0.3563369974161136,0.3279171243642819,0.34212706089019773,0.23861554151325226,0.1916176509305954,0.21511659622192383
87,88,0.38807121800148653,0.32398308230674105,0.3560271501541138,0.2325656567890341,0.19046915423086339,0.21151740550994874
88,89,0.4860928912698486,0.3149683098257325,0.40053060054779055,0.2283890063255598,0.17884289675061205,0.20361595153808593
89,90,0.3756504000202324,0.3468057691081855,0.36122808456420896,0.26225843342260885,0.2087779053835435,0.23551816940307618
90,91,0.4171183687560375,0.3417398828156178,0.37942912578582766,0.24097352323034174,0.20766358080408207,0.2243185520172119
91,92,0.38257643708743466,0.3394805716558515,0.3610285043716431,0.2488841868610425,0.2113527916698413,0.2301184892654419
92,93,0.4270718429669951,0.35338937300590534,0.3902306079864502,0.2595991954199743,0.21583706289606577,0.23771812915802001
93,94,0.4126514534461616,0.3668072600853325,0.38972935676574705,0.25194760315665277,0.21548894889107673,0.23371827602386475
94,95,0.4118812371170901,0.3623775672041989,0.3871294021606445,0.25570918830325307,0.20612486092160043,0.23091702461242675
95,96,0.47614097690572244,0.36632442379007835,0.4212327003479004,0.4148648851750807,0.13617786232247783,0.2755213737487793
96,97,0.7490066420918573,0.23546920896710272,0.49223792552948,0.29867759428624857,0.21356138505335104,0.2561194896697998
97,98,0.5472684338713258,0.3614019915437132,0.45433521270751953,0.3000575332815069,0.215582344037829,0.25781993865966796
98,99,0.43688776166709226,0.40517886011330323,0.42103331089019774,0.30153738757841686,0.23830531337983507,0.26992135047912597
99,100,0.46831854369463605,0.41015082810101827,0.43923468589782716,0.27400006296109697,0.24834390638399576,0.2611719846725464
