,n_atoms,mean_exec_time_yes,mean_exec_time_no
0,1,0.02120211124420166,0.020101189613342285
1,2,0.024202442169189452,0.02360231876373291
2,3,0.023502326011657713,0.022699975967407228
3,4,0.02680027484893799,0.024402260780334473
4,5,0.024701857566833497,0.023401618003845215
5,6,0.025001788139343263,0.025600600242614745
6,7,0.023601841926574708,0.022602081298828125
7,8,0.025302481651306153,0.023102474212646485
8,9,0.026100540161132814,0.023302125930786132
9,10,0.025803089141845703,0.02400236129760742
10,11,0.025502991676330567,0.024702787399291992
11,12,0.029102420806884764,0.027502679824829103
12,13,0.02730283737182617,0.026603007316589357
13,14,0.027903103828430177,0.027403044700622558
14,15,0.02970261573791504,0.029503250122070314
15,16,0.028302931785583497,0.027002978324890136
16,17,0.029203176498413086,0.027602887153625487
17,18,0.030203032493591308,0.02860283851623535
18,19,0.030803155899047852,0.02910306453704834
19,20,0.031302905082702635,0.029903197288513185
