,n_atoms,mean_exec_time_yes,mean_exec_time_no
0,5,0.026902294158935545,0.024101924896240235
1,6,0.025802183151245116,0.02390110492706299
2,7,0.02710275650024414,0.023601818084716796
3,8,0.0269028902053833,0.02420186996459961
4,9,0.025502586364746095,0.02420220375061035
5,10,0.025501203536987305,0.02430260181427002
6,11,0.02700204849243164,0.0260026216506958
7,12,0.03200368881225586,0.031102442741394044
8,13,0.030102109909057616,0.02890341281890869
9,14,0.03060305118560791,0.028103160858154296
10,15,0.03310303688049317,0.031699419021606445
11,16,0.0307037353515625,0.02860283851623535
12,17,0.03310284614562988,0.03060305118560791
13,18,0.03210313320159912,0.029801440238952637
14,19,0.03210306167602539,0.03060293197631836
15,20,0.03380262851715088,0.03140316009521484
