,n_atoms,mean_exec_time_yes,mean_exec_time_no
0,10,0.03300318717956543,0.027504849433898925
1,11,0.030602908134460448,0.02780308723449707
2,12,0.03450298309326172,0.032003474235534665
3,13,0.036803483963012695,0.03220367431640625
4,14,0.039803171157836915,0.03350341320037842
5,15,0.033103322982788085,0.030802989006042482
6,16,0.03310248851776123,0.032503509521484376
7,17,0.035703420639038086,0.03210327625274658
8,18,0.036203765869140626,0.03370368480682373
9,19,0.038903307914733884,0.03220310211181641
10,20,0.035303473472595215,0.03260281085968018
